anio,Equipment,n_hombres,total_medio_m,total_p50_m,peso_medio_m,dots_medio_m,fuerza_rel_media_m,fuerza_rel_p50_m
1997,Wraps,58,432.5169,456.995,84.0817,292.7457,5.1346,5.1279
1998,Multi-ply,1162,642.0234,646.935,97.1565,406.565,6.6947,6.7613
1998,Raw,414,491.9796,493.46,92.3097,320.3471,5.3965,5.5611
1998,Single-ply,6289,592.0768,595.0,88.3037,394.7559,6.8192,6.801
1998,Wraps,93,539.1548,544.31,89.877,352.9082,6.0649,6.0599
1999,Multi-ply,886,661.1337,664.755,98.7811,415.6019,6.78,6.8248
1999,Raw,472,466.6246,480.0,87.7349,311.5535,5.365,5.3536
1999,Single-ply,6629,595.3305,595.0,88.4242,396.5532,6.8455,6.825
1999,Wraps,65,529.4025,540.0,90.0315,346.6912,5.8997,5.7546
2000,Multi-ply,1156,646.6193,652.5,96.9471,409.3921,6.7479,6.7627
2000,Raw,742,492.6139,505.0,89.1337,325.6685,5.5735,5.5548
2000,Single-ply,7348,577.56,577.5,85.9028,390.9302,6.8281,6.7736
2000,Wraps,94,540.2847,562.455,95.1013,343.4855,5.6861,6.0444
2001,Multi-ply,1275,647.3043,659.98,96.0562,411.1085,6.7795,6.8542
2001,Raw,675,467.0379,485.0,85.5631,314.7238,5.4617,5.5
2001,Single-ply,8711,573.2485,572.5,86.2241,387.2779,6.7532,6.6969
2001,Wraps,139,530.2871,560.0,92.2156,343.4599,5.7586,5.8464
2002,Multi-ply,1350,687.6783,684.965,99.1544,431.0535,7.0163,6.9328
2002,Raw,816,484.2367,490.0,87.7275,325.0114,5.6217,5.6789
2002,Single-ply,10391,583.1471,585.0,87.2383,391.5728,6.7964,6.7727
2002,Wraps,241,396.8096,356.07,82.4912,271.8256,4.753,4.8047
2003,Multi-ply,1476,668.8734,688.0,97.3833,422.496,6.9298,7.0682
2003,Raw,679,515.4673,510.0,90.3244,339.9855,5.8119,5.8519
2003,Single-ply,11825,581.5422,580.6,87.7971,389.4335,6.7421,6.7337
2003,Wraps,57,492.5682,500.0,90.7579,322.4323,5.4601,5.3759
2004,Multi-ply,1625,681.0556,680.4,97.2021,430.8059,7.0807,7.1107
2004,Raw,784,483.8238,490.0,87.851,322.5582,5.5626,5.5556
2004,Single-ply,11285,590.6575,591.94,87.9917,394.3917,6.8199,6.822
2004,Wraps,98,505.0386,512.645,90.0623,328.7627,5.5889,5.7112
2005,Multi-ply,1725,706.4374,707.6,97.9054,445.6011,7.3078,7.286
2005,Raw,847,481.2099,480.0,87.4239,321.0006,5.5598,5.6135
2005,Single-ply,11251,589.3473,590.0,87.5542,394.2176,6.826,6.821
2005,Wraps,81,504.5007,498.95,90.3932,329.8981,5.5917,5.5455
2006,Multi-ply,1999,684.0238,690.0,95.749,434.8188,7.1906,7.189
2006,Raw,947,508.5062,515.5,90.563,333.0006,5.6618,5.8023
2006,Single-ply,10860,587.5204,585.13,87.8135,392.8486,6.7975,6.7651
2006,Wraps,138,534.6624,545.445,95.9825,340.757,5.6401,5.6985
2007,Multi-ply,2472,690.2916,685.0,95.8251,439.4429,7.2677,7.2577
2007,Raw,1157,481.1699,477.5,89.115,318.1524,5.4603,5.5218
2007,Single-ply,11329,593.1267,595.0,87.8338,396.7894,6.8694,6.8426
2007,Wraps,281,535.9067,532.97,95.0375,342.8962,5.7068,5.75
2008,Multi-ply,2522,686.9737,692.5,96.1583,436.0956,7.1983,7.2098
2008,Raw,1622,516.9773,520.0,91.4828,337.2768,5.7192,5.8148
2008,Single-ply,11542,594.0733,593.0,88.1056,396.0223,6.8405,6.8369
2008,Wraps,691,523.0294,530.7,91.5058,341.1666,5.7781,5.8115
2009,Multi-ply,2551,692.2709,691.73,96.5384,438.902,7.2419,7.2394
2009,Raw,2276,522.9555,517.5,90.1463,343.0586,5.8549,5.8678
2009,Single-ply,10598,605.5785,605.0,88.8227,401.9422,6.9173,6.9351
2009,Wraps,1372,519.5849,520.0,91.2431,338.5907,5.7281,5.7497
2010,Multi-ply,2466,686.1647,682.5,96.5587,434.4486,7.1584,7.1668
2010,Raw,3319,521.2002,523.0,90.8118,340.4925,5.7898,5.8239
2010,Single-ply,35132,490.3821,471.74,85.1488,335.3586,5.881,5.7396
2010,Wraps,1753,545.1933,540.0,92.6606,353.0679,5.9403,5.9194
2011,Multi-ply,2306,693.2812,690.0,96.9825,438.2851,7.2119,7.2175
