anio,MeetCountry,n_mujeres_pais_anio,n_hombres_pais_anio,n_total_pais_anio,pct_participacion_femenina
2024,Hong Kong,167,299,466,35.84
2024,Hungary,614,1466,2080,29.52
2024,Iceland,285,402,687,41.48
2024,India,1333,2366,3699,36.04
2024,Ireland,733,1353,2086,35.14
2024,Isle of Man,18,22,40,45.0
2024,Israel,100,318,418,23.92
2024,Italy,1478,3548,5026,29.41
2024,Jamaica,53,72,125,42.4
2024,Japan,267,760,1027,26.0
2024,Kazakhstan,3,14,17,17.65
2024,Kuwait,30,97,127,23.62
2024,Kyrgyzstan,82,142,224,36.61
2024,Latvia,91,246,337,27.0
2024,Lithuania,397,900,1297,30.61
2024,Luxembourg,185,275,460,40.22
2024,Madagascar,45,146,191,23.56
2024,Malaysia,134,362,496,27.02
2024,Malta,421,518,939,44.83
2024,Mexico,814,1832,2646,30.76
2024,Morocco,0,45,45,0.0
2024,N.Ireland,225,373,598,37.63
2024,Namibia,1,12,13,7.69
2024,Nauru,46,108,154,29.87
2024,Nepal,19,47,66,28.79
2024,Netherlands,881,1883,2764,31.87
2024,New Zealand,873,1226,2099,41.59
2024,Norway,979,1669,2648,36.97
2024,Panama,86,192,278,30.94
2024,Peru,49,58,107,45.79
2024,Philippines,382,1410,1792,21.32
2024,Poland,1560,5490,7050,22.13
2024,Portugal,113,295,408,27.7
2024,Qatar,47,134,181,25.97
2024,Romania,87,197,284,30.63
2024,Russia,132,292,424,31.13
2024,Saudi Arabia,86,183,269,31.97
2024,Scotland,531,761,1292,41.1
2024,Serbia,109,304,413,26.39
2024,Singapore,172,450,622,27.65
2024,Slovakia,614,2292,2906,21.13
2024,Slovenia,91,241,332,27.41
2024,South Africa,871,1258,2129,40.91
2024,South Korea,270,678,948,28.48
2024,Spain,868,2032,2900,29.93
2024,Sweden,705,1151,1856,37.98
2024,Switzerland,176,365,541,32.53
2024,Taiwan,183,417,600,30.5
2024,Thailand,52,117,169,30.77
2024,Turkey,321,610,931,34.48
2024,UAE,165,307,472,34.96
2024,UK,377,434,811,46.49
2024,US Virgin Islands,18,13,31,58.06
2024,USA,66903,99832,166735,40.13
2024,Ukraine,624,1810,2434,25.64
2024,Uzbekistan,116,203,319,36.36
2024,Vietnam,86,273,359,23.96
2024,Wales,420,917,1337,31.41
2025,Algeria,61,224,285,21.4
2025,Argentina,866,1970,2836,30.54
2025,Australia,3252,5091,8343,38.98
2025,Austria,461,1058,1519,30.35
2025,Belgium,340,1076,1416,24.01
2025,Bolivia,30,66,96,31.25
2025,Brazil,1113,3205,4318,25.78
2025,Brunei,7,33,40,17.5
2025,Bulgaria,29,128,157,18.47
2025,Canada,2953,5004,7957,37.11
2025,Cayman Islands,116,169,285,40.7
2025,Chile,311,904,1215,25.6
2025,China,841,3420,4261,19.74
2025,Colombia,424,1003,1427,29.71
2025,Costa Rica,330,558,888,37.16
2025,Croatia,218,438,656,33.23
2025,Czechia,728,1719,2447,29.75
2025,Denmark,242,708,950,25.47
2025,Dominican Republic,16,55,71,22.54
2025,Ecuador,8,19,27,29.63
2025,Egypt,98,575,673,14.56
2025,England,3426,6108,9534,35.93
2025,Faroe Islands,4,23,27,14.81
2025,Finland,1094,1990,3084,35.47
2025,France,2380,5071,7451,31.94
2025,Germany,1580,3940,5520,28.62
2025,Greece,157,488,645,24.34
2025,Guyana,28,112,140,20.0
2025,Honduras,17,39,56,30.36
2025,Hong Kong,242,325,567,42.68
2025,Hungary,605,1606,2211,27.36
2025,Iceland,198,336,534,37.08
2025,India,801,1906,2707,29.59
2025,Ireland,557,1088,1645,33.86
2025,Isle of Man,25,20,45,55.56
2025,Israel,67,221,288,23.26
2025,Italy,1500,3557,5057,29.66
2025,Jamaica,32,66,98,32.65
2025,Japan,593,1235,1828,32.44
2025,Kuwait,20,79,99,20.2
2025,Latvia,81,304,385,21.04
2025,Lithuania,522,1055,1577,33.1
2025,Luxembourg,158,237,395,40.0
2025,Madagascar,14,45,59,23.73
2025,Malaysia,187,397,584,32.02
2025,Malta,331,489,820,40.37
2025,Mexico,493,1251,1744,28.27
2025,N.Ireland,139,283,422,32.94
2025,Nepal,60,167,227,26.43
2025,Netherlands,719,1426,2145,33.52
2025,New Zealand,759,1163,1922,39.49
2025,Norway,1360,2297,3657,37.19
2025,Panama,103,195,298,34.56
2025,Peru,20,76,96,20.83
2025,Philippines,200,818,1018,19.65
2025,Poland,1852,6297,8149,22.73
2025,Portugal,82,197,279,29.39
2025,Puerto Rico,16,61,77,20.78
2025,Qatar,44,183,227,19.38
2025,Romania,169,322,491,34.42
2025,Russia,798,2592,3390,23.54
2025,Saudi Arabia,63,121,184,34.24
2025,Scotland,570,884,1454,39.2
2025,Serbia,135,526,661,20.42
2025,Singapore,215,544,759,28.33
2025,Slovakia,422,1374,1796,23.5
2025,Slovenia,84,211,295,28.47
2025,South Africa,514,974,1488,34.54
2025,South Korea,362,597,959,37.75
2025,Spain,1238,2897,4135,29.94
2025,Sri Lanka,126,260,386,32.64
2025,Sweden,1319,2298,3617,36.47
2025,Switzerland,163,348,511,31.9
2025,Taiwan,165,410,575,28.7
2025,Thailand,55,123,178,30.9
2025,Trinidad and Tobago,5,25,30,16.67
2025,Tunisia,51,119,170,30.0
2025,Turkey,245,489,734,33.38
2025,UAE,143,270,413,34.62
2025,UK,941,1263,2204,42.7
2025,US Virgin Islands,13,15,28,46.43
2025,USA,61177,90594,151771,40.31
2025,Ukraine,605,1670,2275,26.59
2025,Venezuela,45,136,181,24.86
2025,Vietnam,183,542,725,25.24
2025,Wales,160,370,530,30.19
